variable_1,variable_2,correlation,p_value,n_samples,significance
whale_volume_sum,whale_volume_max,0.9980953522980616,0.0,27160,high
twitter_likes,twitter_engagement,0.9877621652455757,0.0,3030,high
twitter_shares,twitter_engagement,0.9313179163870915,0.0,3030,high
whale_volume_mean,whale_volume_max,0.8911679568313274,0.0,27160,high
whale_volume_sum,whale_volume_mean,0.8845837128523628,0.0,27160,high
twitter_likes,twitter_shares,0.8805592753823199,0.0,3019,high
telegram_message_count,telegram_message_count_zscore,0.8086590080393526,0.0,7992,high
telegram_avg_positive,telegram_avg_neutral,-0.7779305471945029,0.0,6746,high
twitter_comments,twitter_engagement,0.7623395841964321,0.0,3030,high
twitter_likes,twitter_comments,0.6929567477925629,0.0,3030,high
twitter_shares,twitter_comments,0.6698963921237434,0.0,2919,high
telegram_avg_sentiment,telegram_avg_negative,-0.6587516090968868,0.0,5663,high
telegram_avg_sentiment,telegram_avg_positive,0.6367040214389155,0.0,5663,high
whale_volume_sum,whale_volume_std,0.573505042656222,0.0,27160,high
telegram_avg_negative,telegram_avg_neutral,-0.5672722687678853,0.0,6744,high
whale_volume_max,whale_volume_std,0.562286298308815,0.0,27160,high
telegram_avg_neutral,telegram_message_count_zscore,0.45061559518884564,0.0,7992,high
telegram_total_reactions,telegram_message_count_zscore,0.4403766430113553,0.0,7987,high
twitter_post_count,twitter_coin_mentions,0.38764653005532385,5.748172216617816e-110,3051,high
twitter_post_count,twitter_comments,0.3603647868909948,3.1889944412729484e-94,3051,high
twitter_post_count,twitter_engagement,0.34163856805427334,2.84780029267811e-84,3051,high
twitter_shares,twitter_engagement_zscore,0.32596259846549397,6.293887025192762e-207,8391,high
twitter_post_count,twitter_likes,0.3194167033501756,2.535537574990044e-73,3051,high
twitter_post_count,twitter_shares,0.3194042932165771,2.5699936823422567e-73,3051,high
twitter_engagement,twitter_engagement_zscore,0.3074668736539752,3.5336397032868555e-183,8391,high
